
""" продукта";""" of the product"
пути;***пути
Путь;***Путь
Путь для обновлений в локальной сети;***Путь для обновлений в локальной сети
Путь к ролику;***Путь к ролику
Путь к файлам;***Путь к файлам
путь к файлу;***путь к файлу
Путь на диске к папке;***Путь на диске к папке
Пятница;***Пятница
Р.Стоимость;***Р.Стоимость
Работа с Harris-системой;***Работа с Harris-системой
Работники;***Работники
рабочее;***рабочее
рабочее название;***рабочее название
Рабочее название %e_name_nat_p###Оригинальное название %e_name_original_p###Производитель %e_producer_name_p###Тип продукта : %e_product_type_p###Длительность: %e_Duration_p###Количество серий: %e_series_p###;***Рабочее название %e_name_nat_p###Оригинальное название %e_name_original_p###Производитель %e_producer_name_p###Тип продукта : %e_product_type_p###Длительность: %e_Duration_p###Количество серий: %e_series_p###
Рабочий;***Рабочий
Рабочий журнал;***Рабочий журнал
Равномерно разделять передачи;***Равномерно разделять передачи
Разблокировать программы в дне;***Разблокировать программы в дне
Различная дополнительная информация;***Различная дополнительная информация
Различные отчеты по сетке;***Различные отчеты по сетке
разм.;***разм.
Размер;***Размер
Размер отображаемого лога;***Размер отображаемого лога
Разместить;***Разместить
Разместить группу заказов;***Разместить группу заказов
Разместить группу заказов...;***Разместить группу заказов...
Разместить запланированные выходы в реальную сетку;***Разместить запланированные выходы в реальную сетку
Размещаемые продукты;***Размещаемые продукты
Размещаемый продукт;***Размещаемый продукт
Размещен ролик %s во вставку %s. Заказ %s;***Размещен ролик %s во вставку %s. Заказ %s
размещение;***размещение
Размещение (день)...;***Размещение (день)...
Размещение (неделя)...;***Размещение (неделя)...
Размещение автомат;***Размещение автомат
Размещение автомат...;***Размещение автомат...
Размещение заказа;***Размещение заказа
Размещение заказа в формате монтажного листа;***Размещение заказа в формате монтажного листа
Размещение на неделю;***Размещение на неделю
Размещение роликов в формате недельной сетки;***Размещение роликов в формате недельной сетки
Размещение...;***Размещение...
Размещений;***Размещений
Размещения;***Размещения
Размещения канала;***Размещения канала
Размещения по заказу;***Размещения по заказу
Разное;***Разное
Разрешен;***Разрешен
Разрешить переполнение вставок;***Разрешить переполнение вставок
Разрешить точку доступа;***Разрешить точку доступа
Разрывы;***Разрывы
Разрывы между передачами;***Разрывы между передачами
Расположение блока;***Расположение блока
Расположение блока относительно передачи;***Расположение блока относительно передачи
Распределение целевых Float объемов;***Распределение целевых Float объемов
Рассчет;***Рассчет
Рассчетная стоимость;***Рассчетная стоимость
Расценки;***Расценки
Расценки...;***Расценки...
расчет;***расчет
Расширенная информация о сессии;***Расширенная информация о сессии
Регион;***Регион
Регион-предок;***Регион-предок
регион. заполн.;***регион. заполн.
регион. заполнение;***регион. заполнение
регион.вставка;***регион.вставка
региональная;***региональная
Региональная (сек);***Региональная (сек)
регионального маркера;***регионального маркера
региональной (сек);***региональной (сек)
Регионы;***Регионы
Регионы..;***Регионы..
Регистрации;***Регистрации
Регистрация;***Регистрация
Регистрация версий;***Регистрация версий
Регистрация версий...;***Регистрация версий...
Регистрация клиента ### Продавец: %e_saler_sid_p### Название клиента: %e_client_name_p###;***Регистрация клиента ### Продавец: %e_saler_sid_p### Название клиента: %e_client_name_p###
Регистрация нового пользователя сервера;***Регистрация нового пользователя сервера
Регистрация работника;***Регистрация работника
Регистрируется новый;***Регистрируется новый
Регистрируется новый канал ###%e_Channel_Name_p###;***Регистрируется новый канал ###%e_Channel_Name_p###
Регистрируется новый продавец:###%e_Saler_Name_p###;***Регистрируется новый продавец:###%e_Saler_Name_p###
Регистрируется продукт клиента ###Название: %e_adv_product_id_p###Условие размещение: %e_rulez_id_p###;***Регистрируется продукт клиента ###Название: %e_adv_product_id_p###Условие размещение: %e_rulez_id_p###
Регистрируется продукт: ###Клиент: %e_client_sid_p###Продукт: %product_name###Производитель: %e_producer_name_p###Рекламодатель: %e_advertiser_name_p###Категория продукта: %e_category_name_p###;***Регистрируется продукт: ###Клиент: %e_client_sid_p###Продукт: %product_name###Производитель: %e_producer_name_p###Рекламодатель: %e_advertiser_name_p###Категория продукта: %e_category_name_p###
Регистрируется ролик %e_name_p###Владелец ролика: %e_owner_sid_p###Продукт: %e_adv_product_id_p###Длительность ролика: %e_duration_p###Категория ролика %category###;***Регистрируется ролик %e_name_p###Владелец ролика: %e_owner_sid_p###Продукт: %e_adv_product_id_p###Длительность ролика: %e_duration_p###Категория ролика %category###
Регистрируется ролик###Категория:%e_category_id_p###Название:%e_name_p###Длительность:%e_duration_p###;***Регистрируется ролик###Категория:%e_category_id_p###Название:%e_name_p###Длительность:%e_duration_p###
Редактировать;***Редактировать
Редактировать заказ;***Редактировать заказ
Редактировать заказ...;***Редактировать заказ...
Редактировать..(ТЕСТ!!!!);***Редактировать..(ТЕСТ!!!!)
Редактировать...;***Редактировать...
Редактировть пользователя;***Редактировть пользователя
Режим сбора одобрений сетки;***Режим сбора одобрений сетки
Режим сериализации;***Режим сериализации
режим сериализации?;***режим сериализации?
Режим формирования сетки;***Режим формирования сетки
Результат;***Результат
Результат отбивки;***Результат отбивки
результат:;***результат:
рейтинг;***рейтинг
Рейтинги;***Рейтинги
Рейтинги...;***Рейтинги...
Рекламируемый продукт;***Рекламируемый продукт
Рекламодатель;***Рекламодатель
Рекламодатель:;***Рекламодатель:
Родительский носитель;***Родительский носитель
ролик;***ролик
ролик ID;***ролик ID
ролик UID;***ролик UID
ролик несколько раз в одном блоке;***ролик несколько раз в одном блоке
Ролик подгонки блока;***Ролик подгонки блока
Ролик с названием %s;***Ролик с названием %s
Ролик уже используется в размещении.;***Ролик уже используется в размещении.
роликID;***роликID
Ролики;***Ролики
Ролики в блоке;***Ролики в блоке
Ролики используемые в заказе;***Ролики используемые в заказе
Ролики на кассете;***Ролики на кассете
ролики по одному продукту несколько раз в одном блоке;***ролики по одному продукту несколько раз в одном блоке
Ролики продукта;***Ролики продукта
Ролики...;***Ролики...
Роликов на кассете;***Роликов на кассете
Роль;***Роль
Роль: %e_role_sid_p###Пользователь: %e_user_sid_p###;***Роль: %e_role_sid_p###Пользователь: %e_user_sid_p###
с;***с
с основным каналом ?;***с основным каналом ?
с пл.точкой;***с пл.точкой
С помощью этого мастера Вы сможете;***С помощью этого мастера Вы сможете
С помощью этого мастера Вы сможете зарегестрировать нового продавца в системе;***С помощью этого мастера Вы сможете зарегестрировать нового продавца в системе
С помощью этого мастера Вы сможете зарегистрировать в системе нового клиента;***С помощью этого мастера Вы сможете зарегистрировать в системе нового клиента
С помощью этого мастера Вы сможете зарегистрировать в системе нового пользователя;***С помощью этого мастера Вы сможете зарегистрировать в системе нового пользователя
С помощью этого мастера Вы сможете зарегистрировать новый заказ;***С помощью этого мастера Вы сможете зарегистрировать новый заказ
С помощью этого мастера Вы сможете зарегистрировать новый медиа-носитель;***С помощью этого мастера Вы сможете зарегистрировать новый медиа-носитель
С помощью этого мастера Вы сможете зарегистрировать новый ролик;***С помощью этого мастера Вы сможете зарегистрировать новый ролик
С помощью этого мастера Вы сможете зарегистрировать новый ролик в системе;***С помощью этого мастера Вы сможете зарегистрировать новый ролик в системе
С помощью этого мастера Вы сможете зарегистрировать размещаемый клиентом продукт;***С помощью этого мастера Вы сможете зарегистрировать размещаемый клиентом продукт
С помощью этого мастера Вы сможете зарегистроровать новый канал в системе;***С помощью этого мастера Вы сможете зарегистроровать новый канал в системе
С помощью этого мастера Вы сможете создать заявку на регистрацию рекламируемого продукта;***С помощью этого мастера Вы сможете создать заявку на регистрацию рекламируемого продукта
С помощью этого мастера Вы сможете создать контракт между Каналом и Продавцом;***С помощью этого мастера Вы сможете создать контракт между Каналом и Продавцом
С помощью этого мастера Вы сможете создать несколько заказов;***С помощью этого мастера Вы сможете создать несколько заказов
"С помощью этого мастера Вы сможете создать новую пустую жанровую сетку. Нажмите ""Далее"" чтобы начать создание.";"***С помощью этого мастера Вы сможете создать новую пустую жанровую сетку. Нажмите ""Далее"" чтобы начать создание."
С помощью этого мастера Вы сможете создать новый видео-продукт;***С помощью этого мастера Вы сможете создать новый видео-продукт
С помощью этого мастера Вы сможете создать регион, область или город;***С помощью этого мастера Вы сможете создать регион, область или город
с фиксацией;***с фиксацией
СА;***СА
Сб;***Сб
Сб 06.08.2005;***Сб 06.08.2005
Сбор одобрений;***Сбор одобрений
Сброс всех настроек;***Сброс всех настроек
сброшено каналом;***сброшено каналом
Сверка;***Сверка
свободно;***свободно
свободно с учетом неподтвержденных размещений;***свободно с учетом неподтвержденных размещений
Связать;***Связать
сек;***сек
Секунды;***Секунды
сен;***сен
Сентябрь;***Сентябрь
Сервер;***Сервер
Сервера для обновлений;***Сервера для обновлений
Сервис;***Сервис
сериал;***сериал
серии;***серии
серия;***серия
Сетка;***Сетка
Сетка утверждена;***Сетка утверждена
Сетки;***Сетки
Сетки...;***Сетки...
Сжатие;***Сжатие
системная;***системная
сквозная;***сквозная
скидка;***скидка
скидка/надбавка;***скидка/надбавка
"скидки создаются как ""общие""";"***скидки создаются как ""общие"""
скрыть;***скрыть
следующие сутки;***следующие сутки
Следующий год;***Следующий год
Следующий месяц;***Следующий месяц
служ.;***служ.
Служебные размещения;***Служебные размещения
служебный;***служебный
Смена пароля;***Смена пароля
Смена пароля пользователя;***Смена пароля пользователя
сменить пароль...;***сменить пароль...
смещение;***смещение
снят;***снят
Снятые размещения;***Снятые размещения
Снятые размещения...;***Снятые размещения...
Снять либо установить привязку передачи ко времени;***Снять либу установить привязку передачи ко времени
Снять отметки;***Снять отметки
Событие;***Событие
Событие без видеоматериала;***Событие без видеоматериала
событие внутри;***событие внутри
Событие с видеоматериалом;***Событие с видеоматериалом
Совместимость роликов и вставок;***Совместимость роликов и вставок
Совместимость роликов и вставок...;***Совместимость роликов и вставок...
совп. позиции;***совп. позиции
Согласование;***Согласование
Создается контракт ###с продавцом %esid###действующий с %e_date_start_p по %e_date_end_p###;***Создается контракт ###с продавцом %esid###действующий с %e_date_start_p по %e_date_end_p###
Создается Телевизионная Жанровая Сетка###%e_name_p###действующая с %e_date_start_p по %e_date_end_p###;***Создается Телевизионная Жанровая Сетка###%e_name_p###действующая с %e_date_start_p по %e_date_end_p###
Создан;***Создан
создана;***создана
Создание группы заказов;***Создание группы заказов
Создание нового диапазона;***Создание нового диапазона
Создание связи;***Создание связи
Создание ТЖС;***Создание ТЖС
Создано рекламных продуктов:;***Создано рекламных продуктов:
Создать вставку;***Создать вставку
"Создать вставку ""ВНУТРИ""";"***Создать вставку ""ВНУТРИ"""
Создать вставку внутри выбранной передачи;***Создать вставку внутри выбранной передачи
Создать вставку после выбранной передачи;***Создать вставку после выбранной передачи
Создать вставку...;***Создать вставку...
Создать вторичное событие;***Создать вторичное событие
Создать группу;***Создать группу
Создать группу заказов;***Создать группу заказов
Создать группу заказов...;***Создать группу заказов...
Создать детальную сетку на основе жанровой;***Создать детальную сетку на основе жанровой
Создать диапазон;***Создать диапазон
Создать заказ;***Создать заказ
Создать заказ...;***Создать заказ...
Создать копию с выбранной строки;***Создать копию с выбранной строки
Создать новую вставку;***Создать новую вставку
Создать новую вставку перед выбранной передачей;***Создать новую вставку перед выбранной передачей
Создать новую передачу;***Создать новую передачу
Создать передачу;***Создать передачу
Создать передачу...;***Создать передачу...
Создать пользователя;***Создать пользователя
Создать регион;***Создать регион
Создать ролик;***Создать ролик
Создать сетку...;***Создать сетку...
Создать точку доступа;***Создать точку доступа
Создать...;***Создать...
Соимость по заказу;***Соимость по заказу
сокр. назв.;***сокр. назв.
сокр.назв.;***сокр.назв.
Сообщение;***Сообщение
сообщение об ошибке;***сообщение об ошибке
Сопоставить;***Сопоставить
Сопоставить все;***Сопоставить все
соседи;***соседи
Состояние;***Состояние
Состояние заказа;***Состояние заказа
Состояние размещения;***Состояние размещения
Состояние:;***Состояние:
Сохранение эфирной сетки в файл;***Сохранение эфирной сетки в файл
Сохранить;***Сохранить
Сохранить внесенные изменения;***Сохранить внесенные изменения
Сохранить последние внесенные изменения;***Сохранить последние внесенные изменения
Сохранить последние внесенные изменения и закрыть окно;***Сохранить последние внесенные изменения и закрыть окно
Списки;***Списки
Список;***Список
Список всех размещений по заказу с возможностью групповой обработки;***Список всех размещений по заказу с возможностью групповой обработки
Список размещений;***Список размещений
Список размещений...;***Список размещений...
Список серверов;***Список серверов
спонс.;***спонс.
спонсорская;***спонсорская
Справочники;***Справочники
Ср;***Ср
Ср 03.08.2005;***Ср 03.08.2005
Среда;***Среда
сс;***сс
Ставки %;***Ставки %
Старт (time code);***Старт (time code)
статус;***статус
Степень сжатия данных;***Степень сжатия данных
стоимости;***стоимости
Стоимость;***Стоимость
Стоимость заказа;***Стоимость заказа
Стоимость по заказу;***Стоимость по заказу
стоимость прог.;***стоимость прог.
стоимость прогн.;***стоимость прогн.
стоимость факт.;***стоимость факт.
Столбцы;***Столбцы
строка поиска;***строка поиска
Суббота;***Суббота
Субъекты;***Субъекты
Сутки;***Сутки
Сюда;***Сюда
Тайм код;***Тайм код
тайм код начала;***тайм код начала
Тайм код начала воспроизведения;***Тайм код начала воспроизведения
тайм-код;***тайм-код
Таймкод;***Таймкод
текст;***текст
Текстовый заказ;***Текстовый заказ
Текущий пароль;***Текущий пароль
Телевизионные сетки;***Телевизионные сетки
Телевизионные сетки...;***Телевизионные сетки...
телеканала;***телеканала
Телефоны;***Телефоны
Тема;***Тема
тип;***тип
Тип видео-продукта;***Тип видео-продукта
Тип видео-события;***Тип видео-события
Тип времени;***Тип времени
тип вставки;***тип вставки
Тип интеграции ролика;***Тип интеграции ролика
Тип канала;***Тип канала
тип медиа-носителя;***тип медиа-носителя
тип продукта;***тип продукта
Тип размещения;***Тип размещения
Тип региона;***Тип региона
тип региона: %etypeArea###название: %e_name_p###предок: %root_area###;***тип региона: %etypeArea###название: %e_name_p###предок: %root_area###
Тип события;***Тип события
Типы медиа-носителей;***Типы медиа-носителей
Типы медианосителей;***Типы медианосителей
Типы медианосителей...;***Типы медианосителей...
титр до;***титр до
титр после;***титр после
Титры;***Титры
титры ON;***титры ON
только без интеграции;***только без интеграции
Только выбраный заказ;***Только выбраный заказ
Только для float заказов;***Только для float заказов
Только для НПР заказов;***Только для НПР заказов
только интеграция;***только интеграция
Только необработанные;***Только необработанные
Только обработанные;***Только обработанные
только региональные;***только региональные
Только региональные блоки;***Только региональные блоки
Только региональные данные;***Только региональные данные
Точки доступа;***Точки доступа
Трасса;***Трасса
Трафик;***Трафик
требуемая длительность;***требуемая длительность
трубует пересчета;***трубует пересчета
Туда;***Туда
у продавца;***у продавца
Убрать предупреждения;***Убрать предупреждения
Убрать привязки всех передач в выбранном дне ко времени выхода;***Убрать привязки всех передач в выбранном дне ко времени выхода
Убрать привязку ВСЕХ передач ко времени выхода в выбранном дне;***Убрать привязку ВСЕХ передач ко времени выхода в выбранном дне
Удаление канала - необратимая операция. Вся связанная с каналом информация будет утерянна. Продолжить удаление?;***Удаление канала - необратимая операция. Вся связанная с каналом информация будет утерянна. Продолжить удаление?
Удаление клиента - необратимая операция. Вся связанная с клиента информация будет утерянна. Продолжить удаление?;***Удаление клиента - необратимая операция. Вся связанная с клиента информация будет утерянна. Продолжить удаление?
Удаление клиента - необратимая операция. Продолжить удаление?;***Удаление клиента - необратимая операция. Продолжить удаление?
Удаление продавца - необратимая операция. Вся связанная с продавцом информация будет удалена из системы. Продолжить удаление?;***Удаление продавца - необратимая операция. Вся связанная с продавцом информация будет удалена из системы. Продолжить удаление?
Удалить;***Удалить
Удалить видеоматериал;***Удалить видеоматериал
Удалить вставку;***Удалить вставку
Удалить выбранные объекты;***Удалить выбранные объекты
Удалить выбраный ролик?;***Удалить выбраный ролик?
Удалить группу;***Удалить группу
Удалить диапазон;***Удалить диапазон
Удалить дозаполнения;***Удалить дозаполнения
Удалить заказ;***Удалить заказ
Удалить заявку;***Удалить заявку
Удалить из буфера;***Удалить из буфера
Удалить категорию;***Удалить категорию
Удалить клип;***Удалить клип
Удалить коэффициент;***Delete coefficient
Удалить маркер;***Удалить маркер
Удалить менеджера;***Удалить менеджера
Удалить передачу;***Удалить передачу
Удалить период;***Удалить период
Удалить пользователя;***Удалить пользователя
Удалить пользователя/группу;***Удалить пользователя/группу
Удалить пустые места между телепередачами;***Удалить пустые места между телепередачами
Удалить работника;***Удалить работника
Удалить разрывы;***Удалить разрывы
Удалить ролик;***Удалить ролик
Удалить ролики *дозаполнения*?;***Удалить ролики *дозаполнения*?
Удалить с кассеты;***Удалить с кассеты
Удалить точку доступа;***Удалить точку доступа
Удалить члена группы;***Удалить члена группы
Удалить...;***Удалить...
Ужать вставки;***Ужать вставки
Укажите владельца ролика;***Укажите владельца ролика
Укажите длительность ролика в сек.;***Укажите длительность ролика в сек.
Укажите длительность ролика в секундах;***Укажите длительность ролика в секундах
Укажите источник, с которогу будет вестись подача материала;***Укажите источник, с которогу будет вестись подача материала
Укажите канал на котором планируется размещение роликов заказа;***Укажите канал на котором планируется размещение роликов заказа
Укажите категорию ролика;***Укажите категорию ролика
Укажите клиента для которого создаётся заявка;***Укажите клиента для которого создаётся заявка
Укажите клиента по которому создаётся заказ;***Укажите клиента по которому создаётся заказ
укажите название заказа;***укажите название заказа
Укажите название канала и его тип;***Укажите название канала и его тип
Укажите название категории продукта или выберите существующую категорию;***Укажите название категории продукта или выберите существующую категорию
Укажите название клиента;***Укажите название клиента
укажите название передачи;***укажите название передачи
Укажите название продавца;***Укажите название продавца
Укажите название продукта или выберите существующий продукт;***Укажите название продукта или выберите существующий продукт
Укажите название ролика;***Укажите название ролика
Укажите название создаваемой сетки;***Укажите название создаваемой сетки
Укажите необходимую длительность воспроизведения материала;***Укажите необходимую длительность воспроизведения материала
Укажите новый пароль;***Укажите новый пароль
Укажите номер показа материала;***Укажите номер показа материала
Укажите отметку, по которую необходимо воспроизвести метериал;***Укажите отметку, по которую необходимо воспроизвести метериал
Укажите отметку, с которой необходимо воспроизвести метериал;***Укажите отметку, с которой необходимо воспроизвести метериал
Укажите период на протяжении которого планируется размещение роликов этого заказа;***Укажите период на протяжении которого планируется размещение роликов этого заказа
Укажите пользователя получающего роль;***Укажите пользователя получающего роль
Укажите продавца, для которого регистрируется клиент;***Укажите продавца, для которого регистрируется клиент
Укажите продукт;***Укажите продукт
Укажите продукт, по которому создаётся ролик;***Укажите продукт, по которому создаётся ролик
Укажите продукт, ролики которого будут использоватся в заказе;***Укажите продукт, ролики которого будут использоватся в заказе
Укажите производителя продукта или выберите его из списка;***Укажите производителя продукта или выберите его из списка
Укажите рабочее название нового ролика;***Укажите рабочее название нового ролика
Укажите рекламодателя или выберите его из списка;***Укажите рекламодателя или выберите его из списка
Укажите роль;***Укажите роль
Укажите срок действия создаваемого контракта;***Укажите срок действия создаваемого контракта
Укажите срок действия создаваемой жанровой сетки;***Укажите срок действия создаваемой жанровой сетки
Укажите тип материала;***Укажите тип материала
Укажите тип региона;***Укажите тип региона
Укажите, будет ли это заказ неприоритетных размещений;***Укажите, будет ли это заказ неприоритетных размещений
указана фиксированная стоимость для заказа;***указана фиксированная стоимость для заказа
Уникальный номер сессии;***Уникальный номер сессии
Упорядочить;***Упорядочить
Упорядочить окна;***Упорядочить окна
Управление доступом;***Управление доступом
Управление основными правами доступа;***Управление основными правами доступа
Управление учетными записями подключений к серверам;***Управление учетными записями подключений к серверам
Упрощённая регистрация продуктов;***Упрощённая регистрация продуктов
Уровень сжатия;***Уровень сжатия
условие название;***условие название
условие номер;***условие номер
Условие размещение;***Условие размещение
условных фиксаций подтверждены;***условных фиксаций подтверждены
Установите флажок, если показ не был изначально запланирован;***Установите флажок, если показ не был изначально запланирован
Установите этот флажок, если время начала относится к следующим суткам;***Установите этот флажок, если время начала относится к следующим суткам
Установить все настройки системы по умолчанию;***Установить все настройки системы по умолчанию
Установить одинаковое время выхода для выбранных объектов;***Установить одинаковое время выхода для выбранных объектов
Установить одинаковое начальное время для выбранных объектов;***Установить одинаковое начальное время для выбранных объектов
установить по умолчанию;***установить по умолчанию
Установить привязку ВСЕХ передач в выбранном дне ко времени выхода;***Установить привязку ВСЕХ передач в выбранном дне ко времени выхода
Установленный флажок означает, что пользователь имеет возможность работать в системе.###Очистка флажка позволяет запретить пользователю подключаться к серверу.;***Установленный флажок означает, что пользователь имеет возможность работать в системе.###Очистка флажка позволяет запретить пользователю подключаться к серверу.
Установленный флажок означает, что пользователю доступны функции администрирования системы.;***Установленный флажок означает, что пользователю доступны функции администрирования системы.
устаревший;***устаревший
Утверждение;***Утверждение
Утверждение корректировок;***Утверждение корректировок
Утверждение монтажного листа;***Утверждение монтажного листа
Учитывать длительность НПР и флоат;***Учитывать длительность НПР и флоат
файл;***файл
Файл для загрузки;***Файл для загрузки
Файл импорта:;***Файл импорта:
Файл на сервере;***Файл на сервере
Файл найден;***Файл найден
Файл не найден;***Файл не найден
Файл не найден на диске;***Файл не найден на диске
Файлы телевизионной сетки|*.gtv;***Файлы телевизионной сетки|*.gtv
Файлы эфирной сетки|*.gtv;***Файлы эфирной сетки|*.gtv
Факт;***Факт
Факт выход;***Факт выход
"Факт, GRP30""";"***Факт, GRP30"""
Фактическая длительность;***Фактическая длительность
Фактическая длительность показа материала;***Фактическая длительность показа материала
факту;***факту
Фамилия;***Фамилия
Фамилия пользователя;***Фамилия пользователя
Фамилия, имя;***Фамилия, имя
фев;***фев
Февраль;***Февраль
фикс;***фикс
фикс.;***фикс.
фиксированная;***фиксированная
фиксированный;***фиксированный
Фиксировать (разблокировать);***Фиксировать (разблокировать)
фильм;***фильм
фильтр по регионам;***фильтр по регионам
Фильтрация;***Фильтрация
флаги;***флаги
Флаги блока;***Флаги блока
флаги категории вставки;***флаги категории вставки
Флаги размещения;***Флаги размещения
Флаги события;***Флаги события
фомирование одобрили;***фомирование одобрили
фона;***фона
Формат Вещания;***Формат Вещания
Формат вывода;***Формат вывода
Формирование;***Формирование
Формировать сетку;***Формировать сетку
Формировать сетку...;***Формировать сетку...
фтп;***фтп
Характеристики;***Характеристики
хронометраж;***хронометраж
Цвет;***Цвет
Цвет рамки;***Цвет рамки
Цвет фона;***Цвет фона
Цвет части дня;***Цвет части дня
